ESTADO,GOVERNADOR,GÊNERO,PARTIDO,VICE,GÊNERO,PARTIDO,ENFOQUE,SECRETARIAS,SECRETÁRIOS,GÊNERO,PARTIDO,PROFISSÃO,INVESTIMENTO,DESPESAS,TOTAL,%TOTAL,ESCOLHA
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Social - 01,Segurança Pública,Fábio Abreu Costa,M,PTB,Policial Militar,132.515.615,,18.232.376.061,"0,7268148406",Técnica
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Economia,Fazenda,Rafael Tajra Fonteles,M,PT,Matemático,152.205.147,,18.232.376.061,"0,8348069746",Política
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Governo,Planejamento,Antônio Rodrigues Neto,M,PT,Administrador,72.579.552,,18.232.376.061,"0,3980805999",Política
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Governo,Administração,Francisco José Alves da Silva,M,PT,Servidor Público,78.922.862,,18.232.376.061,"0,4328720609",Política
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Social - 02,Justiça,Daniel Carvalho Oliveira Valente,M,PT,Advogado,61.397.584,,18.232.376.061,"0,336750316",Política
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Infraestrutura,Transporte,Guilhermando Pires Ferreira Correa,M,Não,,86.808.721,,18.232.376.061,"0,4761240154",Técnica
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Governo,Casa Civil,Tatiana Mendes Cunha,F,PSD,Advogada,15.919.000,,12.338.389.000,"0,1290200852",Política
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Economia,Fazenda,André Horta Melo,M,Não,Auditor Fiscal,449.150.000,,12.338.389.000,"3,640264543",Técnica
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Governo,Planejamento,Gustavo Maurício Filgueiras,M,PSDB,,131.505.000,,12.338.389.000,"1,065819857",Técnica
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Economia,Agricultura,Haroldo Abuana Osório,M,PSD,Dentista,16.422.000,,12.338.389.000,"0,1330967925",Política
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Social - 01,Saúde,José Ricardo Lagreca,M,Não,Médico,1.544.859.000,6.899.655.000,12.338.389.000,"12,52075129",Técnica
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Governo,Comunicação,Georgia Nery,F,PTB,,32.229.000,,12.338.389.000,"0,2612091416",Técnica
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Governo,Articulação,Hudson Pereira Brito,M,PSD,,,,12.338.389.000,0,Política
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Social - 02,Turismo,Ruy Pereira Gaspar,M,PSD,,65.146.000,5.437.375.000,12.338.389.000,"0,5279943759",Política
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Social - 01,Segurança Pública,Kalina Leite Gonçalves,F,Não,,6.610.000,,12.338.389.000,"0,05357263416",Técnica
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Economia,Trabalho,Julianne Dantas Faria,F,PSD,,231.670.000,,12.338.389.000,"1,877635727",Política
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Social - 01,Educação,Francisco das Chagas Fernandes,M,PR,,2.515.420.000,,12.338.389.000,"20,3869403",Técnica
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Infraestrutura,Infraestrutura,Jader Torres,M,PSD,,179.916.000,,12.338.389.000,"1,458180643",Política
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Infraestrutura,Meio ambiente,José Mairton França,M,Não,,102.539.000,,12.338.389.000,"0,8310566315",Técnica
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Governo,Administração,Gustavo Maurício Filgueiras,M,PSDB,,1.590.000,,12.338.389.000,"0,01288660943",Técnica
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Social - 02,Esporte,George Câmara,M,PSDB,,29.887.000,,12.338.389.000,"0,2422277333",Técnica
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Social - 02,Juventude,Maria Divaneide Basílio,F,PT,,10.417.000,,12.338.389.000,"0,08442755371",Técnica
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Infraestrutura,Desenvolvimento Agrário,Raimundo da Costa Sobrinho,M,PT,,16.422.000,,12.338.389.000,"0,1330967925",Técnica
RN,Robinson Faria,M,PSD,Fábio Dantas,M,PCdoB,Social - 02,Mulher,Maria Teresa Freire da Costa,F,PT,,87.674.000,,12.338.389.000,"0,7105789905",Técnica
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Economia,Agricultura,Esmeraldo Leal dos Santos,M,PT,,209.070.375,,8.625.446.602,"2,42387884",Técnica
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Governo,Casa Civil,Belivaldo Chagas,M,PSB,,39.394.961,,8.625.446.602,"0,4567295216",Técnica
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Governo,Comunicação,Sales Neto,M,Não,,21.886.000,5.602.144.182,8.625.446.602,"0,2537375861",Técnica
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Economia,Fazenda,Jefferson Passos,M,Não,,737.400.499,,8.625.446.602,"8,54912833",Técnica
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Social - 01,Educação,Jorge Carvalho,M,Não,,966.065.900,5.283.726.480,8.625.446.602,"11,20018411",Técnica
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Governo,Governadoria,Benedito Figueiredo,M,Não,,772.683.100,,8.625.446.602,"8,958180784",Técnica
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Infraestrutura,Infraestrutura,Valmor Barbosa,M,Não,,292.835.000,,8.625.446.602,"3,395012612",Técnica
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Social - 02,Justiça,Antônio Hora Filho,M,PSD,,219.683.000,,8.625.446.602,"2,546917396",Técnica
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Infraestrutura,Meio ambiente,Olivier Ferreira Chagas,M,PT,,14.834.950,,8.625.446.602,"0,1719905146",Técnica
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Governo,Planejamento,João Augusto Gama,M,PT,,80.383.880,,8.625.446.602,"0,9319387588",Técnica
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Social - 01,Saúde,José Macedo Sobral,M,PMDB,,1.071.466.820,,8.625.446.602,"12,42216049",Política
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Social - 01,Segurança Pública,Mendonça Prado,M,DEM,,791.393.330,,8.625.446.602,"9,175099754",Técnica
SE,Jackson Barreto,M,PMDB,Belivaldo Chagas,M,PSB,Social - 02,Turismo,Adilson Júnior,M,Não,,66.628.665,,8.625.446.602,"0,7724662626",Técnica
