ESTADO,GOVERNADOR,GÊNERO,PARTIDO,VICE,GÊNERO,PARTIDO,ENFOQUE,SECRETARIAS,SECRETÁRIOS,GÊNERO,PARTIDO,PROFISSÃO,INVESTIMENTO,DESPESAS,TOTAL,%TOTAL,ESCOLHA
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Infraestrutura,Meio ambiente,Eugênio Spengler,M,PT,,4.706.000,,39.091.321.000,"0,0120384778",Política
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Economia,Fazenda,Manuel Vitório,M,Não,,28.031.000,,39.091.321.000,"0,07170645372",Técnica
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Infraestrutura,Infraestrutura,Marcus Benício Foltz Cavalcanti,M,DEM,Engenheiro Mecânico,183.973.000,,39.091.321.000,"0,4706236456",Técnica
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Infraestrutura,Infraestrutura Hídrica,Cássio Peixoto,M,Não,,598.704.610,,39.091.321.000,"1,531553794",Técnica
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Governo,Planejamento,João Felipe de Souza Leão,M,PP,,81.950.764,,39.091.321.000,"0,2096392803",Técnica
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Governo,Comunicação,André Curvello,M,PMDB,,105.304.000,,39.091.321.000,"0,2693794871",Técnica
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Economia,Trabalho,Álvaro Gomes,M,PT,,144.562.000,,39.091.321.000,"0,3698058707",Política
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Social - 01,Saúde,Fábio Vilas-Boas,M,Não,Médico,160.807.000,,39.091.321.000,"0,4113624096",Técnica
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Governo,Articulação,Josias Gomes,M,PT,Agrônomo,,,39.091.321.000,0,Política
BA,Rui Costa,M,PT,João Felipe de Souza Leão,M,PP,Social - 02,Direitos Humanos,Geraldo Reis,M,PT,Sociólogo,361.048.800,,39.091.321.000,"0,9236034771",Política
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Social - 01,Saúde,Carlile Lavor,M,Não,Médico,180.093.481,,23.605.525.401,"0,7629293479",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Economia,Trabalho,Josbertini Clementino,M,PDT,Administrador,63.839.112,,23.605.525.401,"0,2704413942",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Social - 02,Justiça,Hélio Leitão,M,PcdoB,Advogado,291.890.410,,23.605.525.401,"1,236534265",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Social - 02,Esporte,David Durand,M,PRB,Pastor ,51.563.925,2.912.930.643,23.605.525.401,"0,2184400649",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Social - 02,Política de Drogas,Mirian Sobreira,F,PDT,Enfermeira,,,23.605.525.401,0,Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Economia,Agricultura,Osmar Baquit,M,PDT,Empresário,13.910.570,,23.605.525.401,"0,05892929627",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Infraestrutura,Cidades,Ivo Gomes,M,PDT,Advogado,158.038.892,,23.605.525.401,"0,669499574",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Economia,Fazenda,Mauro Filho,M,PDT,Economista,31.535.000,,23.605.525.401,"0,1335916039",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Social - 02,Ciência,Inácio Arruda,M,PcdoB,Técnico em eletrotécnica,74.106.631,1.661.808.856,23.605.525.401,"0,313937647",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Infraestrutura,Desenvolvimento Agrário,Francisco José Teixeira,M,PT,Geólogo,165.480.682,18,23.605.525.401,"0,7010252015",Política
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Infraestrutura,Meio ambiente,Artur Bruno,M,PT,Pedagogo,15.285.000,,23.605.525.401,"0,064751789",Política
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Economia,Desenvolvimento Econômico,Nicolle Barbosa,F,PSC,Empresária,18.700.000,,23.605.525.401,"0,07921874088",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Infraestrutura,Recursos Hídricos,Francisco Teixeira,M,Não,Engenheiro Civil,94.663.000,,23.605.525.401,"0,401020517",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Governo,Articulação,Danilo Serpa,M,Não,Administrador,,,23.605.525.401,0,Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Governo,Casa Civil,Alexandre Lacerda Landim,M,Não,Advogado,22.804.000,,23.605.525.401,"0,09660450091",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Social - 02,Juventude,Élcio Batista,M,Não,Cientista Social,,,23.605.525.401,0,Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Social - 02,Turismo,Arialdo Pinho,M,Não,Economista,44.352.786,,23.605.525.401,"0,1878915434",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Governo,Planejamento,Hugo Figueiredo,M,Não,Economista,72.895.111,,23.605.525.401,"0,3088052893",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Infraestrutura,Infraestrutura,André Facó,M,Não,Engenheiro Civil,150.262.665,,23.605.525.401,"0,6365571723",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Governo,Casa Militar,Célio Studart,M,SD,Advogado,1.000.000,,23.605.525.401,"0,004236296304",Técnica
CE,Camilo Santana,M,PT,Izolda Cela,F,PROS,Social - 01,Educação,Maurício Holanda,M,Não,Administrador Público,211.387.591,,23.605.525.401,"0,8955004704",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 02,Justiça,Murilo Andrade,M,Não,Advogado ,1.124.639.727,,27.987.354.145,"4,018385308",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Economia,Agricultura,Márcio Honaiser,M,PDT,Professor,75.244.707,,27.987.354.145,"0,2688525204",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Economia,Agricultura Familiar,Adelmo Soares,M,PCdoB,Dentista,,,27.987.354.145,0,Política
